Learning Rate,L2 Penalty,Optimizer,Model,Momentum,Mini_batch,Loss,Epoch
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,2.607747793197632,0.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,1.3844165802001953,1.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.9387087821960449,2.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.812469482421875,3.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.7448407411575317,4.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.7009333968162537,5.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.6701087355613708,6.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.6484050750732422,7.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.6325244903564453,8.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.620727002620697,9.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.6120307445526123,10.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.6054025292396545,11.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.6002393960952759,12.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.596140444278717,13.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.592820405960083,14.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5900852084159851,15.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5878157615661621,16.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5858996510505676,17.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5842387080192566,18.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5828057527542114,19.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5815420150756836,20.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5804270505905151,21.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5794281959533691,22.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.578534722328186,23.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5777202248573303,24.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5769710540771484,25.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.576273500919342,26.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5756290555000305,27.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5750247836112976,28.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5744626522064209,29.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5739333033561707,30.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5734322667121887,31.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5729562640190125,32.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5725057721138,33.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5720821022987366,34.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5716777443885803,35.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.571293830871582,36.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5709270238876343,37.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.570580005645752,38.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5702484250068665,39.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5699325799942017,40.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5696300864219666,41.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5693369507789612,42.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5690529346466064,43.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5687806010246277,44.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5685195922851562,45.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5682684183120728,46.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5680251121520996,47.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5677908658981323,48.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5675637125968933,49.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5673376321792603,50.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5671194195747375,51.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5669073462486267,52.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5667020082473755,53.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5665025115013123,54.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5663084387779236,55.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5661194324493408,56.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5659347772598267,57.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5657552480697632,58.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5655829310417175,59.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.565414547920227,60.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5652499794960022,61.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5650911331176758,62.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5649364590644836,63.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.564784586429596,64.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5646340250968933,65.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5644858479499817,66.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5643408894538879,67.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.56419837474823,68.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5640583634376526,69.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5639228224754333,70.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5637885332107544,71.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5636535882949829,72.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5635201930999756,73.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5633896589279175,74.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.563261866569519,75.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.56313556432724,76.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5630115866661072,77.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5628911852836609,78.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.562774658203125,79.0
0.1,0.1,GD,Neural_Network,Momentum: False,Mini-Batch: False,0.5626600384712219,80.0
