Learning Rate,L2 Penalty,Optimizer,Model,Activation_function,epochs,Loss,Epoch
0.01,0.8,SGD,Neural_Network,relu,,3.469343662261963,0.0
0.01,0.8,SGD,Neural_Network,relu,,2.0811235904693604,1.0
0.01,0.8,SGD,Neural_Network,relu,,1.7809700965881348,2.0
0.01,0.8,SGD,Neural_Network,relu,,1.6535706520080566,3.0
0.01,0.8,SGD,Neural_Network,relu,,1.5732684135437012,4.0
0.01,0.8,SGD,Neural_Network,relu,,1.5111364126205444,5.0
0.01,0.8,SGD,Neural_Network,relu,,1.467702865600586,6.0
0.01,0.8,SGD,Neural_Network,relu,,1.4334557056427002,7.0
0.01,0.8,SGD,Neural_Network,relu,,1.406089186668396,8.0
0.01,0.8,SGD,Neural_Network,relu,,1.3845609426498413,9.0
0.01,0.8,SGD,Neural_Network,relu,,1.368481159210205,10.0
0.01,0.8,SGD,Neural_Network,relu,,1.3541285991668701,11.0
0.01,0.8,SGD,Neural_Network,relu,,1.3432016372680664,12.0
0.01,0.8,SGD,Neural_Network,relu,,1.3345199823379517,13.0
0.01,0.8,SGD,Neural_Network,relu,,1.3272250890731812,14.0
0.01,0.8,SGD,Neural_Network,relu,,1.3206515312194824,15.0
0.01,0.8,SGD,Neural_Network,relu,,1.315437912940979,16.0
0.01,0.8,SGD,Neural_Network,relu,,1.3108938932418823,17.0
0.01,0.8,SGD,Neural_Network,relu,,1.3075673580169678,18.0
0.01,0.8,SGD,Neural_Network,relu,,1.3038944005966187,19.0
0.01,0.8,SGD,Neural_Network,relu,,1.301140546798706,20.0
0.01,0.8,SGD,Neural_Network,relu,,1.2986198663711548,21.0
0.01,0.8,SGD,Neural_Network,relu,,1.2963016033172607,22.0
0.01,0.8,SGD,Neural_Network,relu,,1.294221043586731,23.0
0.01,0.8,SGD,Neural_Network,relu,,1.2923945188522339,24.0
0.01,0.8,SGD,Neural_Network,relu,,1.290624976158142,25.0
0.01,0.8,SGD,Neural_Network,relu,,1.289241075515747,26.0
0.01,0.8,SGD,Neural_Network,relu,,1.2877037525177002,27.0
0.01,0.8,SGD,Neural_Network,relu,,1.2868916988372803,28.0
0.01,0.8,SGD,Neural_Network,relu,,1.2855080366134644,29.0
0.01,0.8,SGD,Neural_Network,relu,,1.2844740152359009,30.0
0.01,0.8,SGD,Neural_Network,relu,,1.28369140625,31.0
0.01,0.8,SGD,Neural_Network,relu,,1.2826602458953857,32.0
0.01,0.8,SGD,Neural_Network,relu,,1.2817429304122925,33.0
0.01,0.8,SGD,Neural_Network,relu,,1.2810842990875244,34.0
0.01,0.8,SGD,Neural_Network,relu,,1.28025484085083,35.0
0.01,0.8,SGD,Neural_Network,relu,,1.27961003780365,36.0
0.01,0.8,SGD,Neural_Network,relu,,1.2789617776870728,37.0
