Learning Rate,L2 Penalty,Optimizer,Momentum,Mini_batch,Model,Accuracy
1e-05,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9342105263157895
1e-05,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
1e-05,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1e-05,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.8464912280701754
1e-05,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9649122807017544
1e-05,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.8903508771929824
1e-05,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
1e-05,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9035087719298246
1e-05,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1e-05,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1e-05,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1e-05,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
1e-05,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9122807017543859
1e-05,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1e-05,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1e-05,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1e-05,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9649122807017544
1e-05,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9254385964912281
7.127564834438907e-06,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
7.127564834438907e-06,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9254385964912281
7.127564834438907e-06,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
7.127564834438907e-06,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9035087719298246
7.127564834438907e-06,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9254385964912281
7.127564834438907e-06,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9342105263157895
7.127564834438907e-06,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
7.127564834438907e-06,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
7.127564834438907e-06,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
7.127564834438907e-06,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9210526315789473
7.127564834438907e-06,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
7.127564834438907e-06,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
7.127564834438907e-06,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9342105263157895
7.127564834438907e-06,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
7.127564834438907e-06,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.8728070175438597
7.127564834438907e-06,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.8947368421052632
7.127564834438907e-06,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
7.127564834438907e-06,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
5.0802180469130224e-06,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.8991228070175439
5.0802180469130224e-06,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
5.0802180469130224e-06,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.8508771929824561
5.0802180469130224e-06,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9298245614035088
5.0802180469130224e-06,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
5.0802180469130224e-06,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
5.0802180469130224e-06,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
5.0802180469130224e-06,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
5.0802180469130224e-06,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
5.0802180469130224e-06,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
5.0802180469130224e-06,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
5.0802180469130224e-06,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9254385964912281
5.0802180469130224e-06,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.7894736842105263
5.0802180469130224e-06,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
5.0802180469130224e-06,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
5.0802180469130224e-06,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
5.0802180469130224e-06,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
5.0802180469130224e-06,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.6209583502459166e-06,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
3.6209583502459166e-06,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.6209583502459166e-06,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
3.6209583502459166e-06,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.6209583502459166e-06,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
3.6209583502459166e-06,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.6209583502459166e-06,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
3.6209583502459166e-06,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.8728070175438597
3.6209583502459166e-06,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.6209583502459166e-06,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
3.6209583502459166e-06,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.6209583502459166e-06,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.6209583502459166e-06,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.6209583502459166e-06,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.6209583502459166e-06,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
3.6209583502459166e-06,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
3.6209583502459166e-06,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
3.6209583502459166e-06,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
