Learning Rate,L2 Penalty,Optimizer,Model,Momentum,Mini_batch,Loss,Epoch
0.1,0.1,SGD,PyTorch,False,True,0.2623268877259009,0.0
0.1,0.1,SGD,PyTorch,False,True,0.24484933525607652,1.0
0.1,0.1,SGD,PyTorch,False,True,0.2469090321068908,2.0
0.1,0.1,SGD,PyTorch,False,True,0.2469157415826682,3.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577318547614,4.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577289500188,5.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577101229267,6.0
0.1,0.1,SGD,PyTorch,False,True,0.2469157765400859,7.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576977303367,8.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577425897127,9.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577344938884,10.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577273367346,11.0
0.1,0.1,SGD,PyTorch,False,True,0.2469157668320044,12.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576477071073,13.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576948916108,14.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577226724093,15.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577288629363,16.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576825323047,17.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576594989825,18.0
0.1,0.1,SGD,PyTorch,False,True,0.2469157672656858,19.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577134209522,20.0
0.1,0.1,SGD,PyTorch,False,True,0.2469157706522127,21.0
0.1,0.1,SGD,PyTorch,False,True,0.2469157701169341,22.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576708543572,23.0
0.1,0.1,SGD,PyTorch,False,True,0.2469157667176228,24.0
0.1,0.1,SGD,PyTorch,False,True,0.2469157709111311,25.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576748354618,26.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576589881933,27.0
0.1,0.1,SGD,PyTorch,False,True,0.246915763773053,28.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576775214993,29.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576000575327,30.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576964458525,31.0
0.1,0.1,SGD,PyTorch,False,True,0.24691576867140738,32.0
0.1,0.1,SGD,PyTorch,False,True,0.24691577226500144,33.0
0.1,0.1,SGD,PyTorch,False,True,0.2469157686856501,34.0
